gameId,playId,frameId,nflId,displayName,club,playDirection,x,y,s,a,dis,o,dir,position,Closest_Defender,Open_Field_Tackle_IND,Open_Field_Missed_Tackle_IND
2022102000,56,11,53639,Victor Dimukeje,ARI,left,79.27,21.07,6.43,1.32,0.65,356.09,349.13,OLB,3.26105811,1,0
2022102000,80,46,44848,Budda Baker,ARI,left,66.38,20.03,4.67,6.44,0.44,128.51,207.62,SS,1.807014112,0,0
2022102000,101,43,52539,Rashard Lawrence,ARI,left,58.13,21.26,2.26,1.35,0.23,196.92,206.98,NT,0.347850543,0,0
2022102000,201,44,40017,Tyrann Mathieu,NO,right,40.8,16.98,2.01,5.16,0.19,83.36,205.41,FS,1.459109317,0,0
2022102000,222,28,54514,Alontae Taylor,NO,right,70.17,8.04,7.08,2.05,0.71,343.53,18.97,CB,5.224145863,1,0
2022102000,246,19,53489,Pete Werner,NO,right,70.68,7.15,3,2.3,0.3,298.42,299.64,OLB,0.736817481,0,0
2022102000,281,11,41257,Bradley Roby,NO,right,76.98,35.03,3.43,3.22,0.35,183.23,247.13,CB,4.676162957,1,0
2022102000,361,49,45008,Tanner Vallejo,ARI,left,90.25,24.87,2.48,1.87,0.25,248.68,115.07,ILB,0.489182992,0,0
2022102000,361,29,52539,Rashard Lawrence,ARI,left,87.76,25.73,3.87,2.05,0.37,45.27,30.4,NT,1.984943324,0,0
2022102000,409,17,49410,Jalen Thompson,ARI,left,71.32,49.3,3.27,3.73,0.34,88.83,93.11,FS,1.257179383,0,0
2022102000,433,49,54552,Cameron Thomas,ARI,left,66.9,27.19,6.24,2.77,0.62,233.53,226.47,OLB,2.07800385,1,0
2022102000,454,45,53639,Victor Dimukeje,ARI,left,61.71,20.31,0.89,4.51,0.1,351.99,273.12,OLB,0.659469484,0,0
2022102000,475,31,53445,Zaven Collins,ARI,left,60.3,26.96,0.63,0.39,0.06,80.79,331.73,OLB,0.774919351,0,0
2022102000,519,9,53565,Marco Wilson,ARI,left,58.02,11.72,3.97,5.23,0.4,282.92,12.97,CB,3.122707159,1,0
2022102000,546,27,53445,Zaven Collins,ARI,left,49.54,45.79,7.03,3.84,0.7,327.35,334.65,OLB,1.108196733,0,0
2022102000,570,27,47848,Zach Allen,ARI,left,50.54,26.83,2.97,1.87,0.3,129.71,117.1,DE,3.399308753,1,0
2022102000,615,11,43986,Antonio Hamilton,ARI,left,32.9,13.18,4.52,3.97,0.47,186.85,347.28,CB,2.496878051,1,0
2022102000,639,50,52416,Isaiah Simmons,ARI,left,20.76,14.19,3.61,4.75,0.39,196.54,227.46,DB,1.665713061,0,0
2022102000,681,25,44848,Budda Baker,ARI,left,20.91,20,2.87,3.98,0.26,93.42,76.56,SS,1.808341782,0,0
2022102000,729,78,37724,Chris Harris,NO,right,48.19,52.48,4.51,2.79,0.45,288.78,315.52,CB,3.972908255,1,0
2022102000,755,90,40017,Tyrann Mathieu,NO,right,91.24,52.92,8.24,2.72,0.83,33.95,69.05,FS,4.38731125,1,0
2022102000,781,59,46083,Marcus Davenport,NO,right,93.57,49.13,2.01,3.22,0.2,325.82,11.36,DE,2.185634919,1,0
2022102000,802,21,53489,Pete Werner,NO,right,91.82,45.01,2.42,1.98,0.23,313.62,204.7,OLB,2.687936011,1,0
2022102000,845,50,40017,Tyrann Mathieu,NO,left,12.22,10.46,1.93,2.96,0.2,92.61,121.89,FS,3.123139446,1,0
2022102000,866,34,53489,Pete Werner,NO,left,21.03,19.13,4.04,3.31,0.4,359.48,131.44,OLB,3.485111189,1,0
2022102000,1025,75,43986,Antonio Hamilton,ARI,right,100.5,51.49,9.03,3.53,0.92,82.82,99.37,CB,6.831837235,1,0
2022102000,1025,39,44848,Budda Baker,ARI,right,67,52.23,9.52,3.9,0.97,68.71,52.03,SS,1.658553587,0,0
2022102000,1182,83,48537,Carl Granderson,NO,left,60.87,37.46,1.51,2.06,0.16,5.77,332.99,DE,4.964443574,1,0
2022102000,1182,46,54514,Alontae Taylor,NO,left,62.86,18.99,5.81,4.86,0.59,114.61,198.39,CB,3.643473617,0,1
2022102000,1206,46,43409,David Onyemata,NO,left,60.84,19.44,4.42,4.38,0.44,353.42,204.12,DT,1.858009688,0,0
